"group","MCODE::Clusters (1)","MCODE::Node Status (1)","MCODE::Score (1)","name","selected","shared name"
"1",,"Unclustered","0.3333333333333333","HK3","false","HK3"
"-1",,"Unclustered","2.0","EPS8L3","false","EPS8L3"
"-1","Cluster 3","Clustered","4.0","MUC13","false","MUC13"
"1",,"Unclustered","0.0","SLC45A4","false","SLC45A4"
"1","Cluster 3","Clustered","4.0","TGFA","false","TGFA"
"1",,"Unclustered","3.0","F5","false","F5"
"-1",,"Unclustered","0.6666666666666666","FAM20C","false","FAM20C"
"-1",,"Unclustered","3.0","TRAPPC4","false","TRAPPC4"
"-1",,"Unclustered","2.0","MMRN1","false","MMRN1"
"-1",,"Unclustered","0.6666666666666666","WDR72","false","WDR72"
"-1",,"Unclustered","0.0","FAM216B","false","FAM216B"
"-1",,"Unclustered","0.0","TEKT1","false","TEKT1"
"1",,"Unclustered","0.6666666666666666","FBXO11","false","FBXO11"
"-1",,"Unclustered","0.4","TANC1","false","TANC1"
"1",,"Unclustered","0.0","ZNF395","false","ZNF395"
"1",,"Unclustered","3.0","FGF18","false","FGF18"
"1",,"Unclustered","2.4000000000000004","PIK3R4","false","PIK3R4"
"-1",,"Unclustered","0.6666666666666666","FLRT2","false","FLRT2"
"-1",,"Unclustered","0.4","ZC3H4","false","ZC3H4"
"-1",,"Unclustered","2.0","S1PR2","false","S1PR2"
"-1",,"Unclustered","1.6666666666666667","TIE1","false","TIE1"
"-1",,"Unclustered","1.2","FZD4","false","FZD4"
"-1",,"Unclustered","0.6666666666666666","LGR4","false","LGR4"
"-1",,"Unclustered","0.0","G6PC3","false","G6PC3"
"1","Cluster 3","Clustered","4.0","GALNT14","false","GALNT14"
"1","Cluster 3","Clustered","4.0","MUC15","false","MUC15"
"1",,"Unclustered","2.0","GAS1","false","GAS1"
"-1","Cluster 5","Clustered","3.0","SLC1A2","false","SLC1A2"
"1","Cluster 5","Clustered","3.0","SLC38A1","false","SLC38A1"
"1",,"Unclustered","0.6666666666666666","ZMYND8","false","ZMYND8"
"-1",,"Unclustered","0.6666666666666666","HIPK3","false","HIPK3"
"-1",,"Unclustered","0.5","HMGB2","false","HMGB2"
"-1",,"Unclustered","0.5","SLC30A1","false","SLC30A1"
"-1",,"Unclustered","0.5","RBM47","false","RBM47"
"-1",,"Unclustered","2.0","PRPF40A","false","PRPF40A"
"1",,"Unclustered","2.0","SRSF7","false","SRSF7"
"1",,"Unclustered","0.0","HPS3","false","HPS3"
"1",,"Unclustered","2.0","PAPLN","false","PAPLN"
"1","Cluster 7","Clustered","2.0","HTR3A","false","HTR3A"
"-1","Cluster 7","Seed","2.0","MAOB","false","MAOB"
"-1",,"Unclustered","0.6666666666666666","LHX6","false","LHX6"
"-1",,"Unclustered","0.5","MAX","false","MAX"
"-1",,"Unclustered","0.6666666666666666","IDUA","false","IDUA"
"1",,"Unclustered","0.0","IER5","false","IER5"
"1",,"Unclustered","0.0","SIPA1L3","false","SIPA1L3"
"1",,"Unclustered","0.0","IGF2BP2","false","IGF2BP2"
"-1",,"Unclustered","1.6666666666666667","OTUD7B","false","OTUD7B"
"1",,"Unclustered","0.6666666666666666","PPTC7","false","PPTC7"
"1",,"Unclustered","1.6666666666666667","IRAK2","false","IRAK2"
"-1",,"Unclustered","0.0","ISM1","false","ISM1"
"1",,"Unclustered","0.5","JMJD1C","false","JMJD1C"
"1",,"Unclustered","0.6666666666666666","NAP1L4","false","NAP1L4"
"-1",,"Unclustered","0.0","KAT6A","false","KAT6A"
"1",,"Unclustered","0.0","KDSR","false","KDSR"
"1",,"Unclustered","0.4","PPFIA4","false","PPFIA4"
"1","Cluster 6","Clustered","2.0","VAMP1","false","VAMP1"
"1","Cluster 6","Seed","2.0","PAFAH1B2","false","PAFAH1B2"
"1",,"Unclustered","0.6666666666666666","NXT2","false","NXT2"
"-1",,"Unclustered","0.6666666666666666","LY6D","false","LY6D"
"-1",,"Unclustered","2.4000000000000004","RNF31","false","RNF31"
