"","group","filter","genes","logFC","logCPM","LR","PValue"
"6513",-1,"6513","GNG11",-2.81511581689785,7.34315538775177,11.1430313780708,0.000843479392155937
"6552",-1,"6552","GOLGA8A",-2.14047470526023,6.21427382083288,15.3595669145542,8.88697874955646e-05
"6876",-1,"6876","GUCY1A2",-2.26695800269964,6.50419030489981,14.4906515352339,0.000140856838076952
"6983",1,"6983","HACD4",2.26175811022585,3.55557137493022,14.6837458899238,0.00012713798189022
"6997",-1,"6997","HAND2-AS1",-3.80126391739483,5.52749735326373,11.4246229577048,0.000724771319431636
"7025",1,"7025","HAVCR2",1.97622858741245,2.66105596168512,13.1077231038929,0.000294080892801255
"7192",-1,"7192","HIPK3",-2.17891634481993,6.68362698596786,16.0114289125562,6.2961258658983e-05
"7204",1,"7204","HK3",2.2654328160589,3.26596509405837,15.9886932377663,6.37219187564438e-05
"7214",1,"7214","HLA-DPB1",2.74389857317948,7.57315780420256,11.2945861456827,0.00077733426890702
"7242",-1,"7242","HMGB2",-3.32500829221369,6.64031870674594,28.3705168640918,1.0017943151029e-07
"7263",1,"7263","HMOX1",2.13096883774468,8.52769800941639,15.3597556413969,8.88609109323015e-05
"7289",1,"7289","HNRNPM",3.01531884089048,7.60483938906004,12.0927695692974,0.000506177300270772
"7303",-1,"7303","HOPX",-3.29378518242693,5.83517939153395,27.5397341185462,1.53900063892837e-07
"7314",-1,"7314","HOXA11",-3.4587572450481,6.63668070407034,15.3033391059011,9.15545334448878e-05
"7369",1,"7369","HPS3",2.27571068896304,6.58060518521146,11.3232784077443,0.000765414575597453
"7372",-1,"7372","HPS6",-2.32100855490434,3.26818381108649,16.7876679093068,4.18040961683805e-05
"7459",1,"7459","HSPD1",3.4591908566603,6.31823705318774,28.7095240180422,8.40891658623893e-08
"7476",1,"7476","HTR3A",2.0975936692758,2.96043690497034,14.6406866320152,0.000130075811730994
"7492",-1,"7492","HUWE1",-3.2033625092459,9.83721224513286,27.9210380360843,1.26368298027479e-07
"7543",1,"7543","IDH3G",2.25592356051393,5.00281948119028,13.4763566413727,0.000241588450162212
"7551",-1,"7551","IDUA",-2.52806794277963,2.96733545988687,15.9294911060187,6.57462823375381e-05
"7555",1,"7555","IER5",2.50812018385282,7.34065861943702,14.0711198184247,0.00017602595538495
"7615",-1,"7615","IFT80",-1.89298418503783,5.68039586277468,13.1455795763838,0.000288198355404906
"7626",1,"7626","IGF2BP2",2.80141288712721,6.9536028986389,13.9752660152538,0.000185231435321998
"7629",1,"7629","IGF2R",2.89648061663366,7.1071597611108,12.3028364010816,0.000452270463885943
"7691",-1,"7691","IHH",-2.10014536828508,3.12560910727372,12.5133624609338,0.000404051769660081
"7793",1,"7793","ILDR1",2.25284170419222,3.43063353685331,10.7383594606325,0.00104937322729544
"7938",1,"7938","IRAK2",2.4168682041907,3.47669208739836,16.5910493140883,4.63693441080489e-05
"7939",1,"7939","IRAK3",2.51526394272439,3.30383320921209,16.8438287542399,4.05850830999258e-05
"7976",-1,"7976","ISM1",-2.50262038121907,5.66925032631386,14.7554885210898,0.000122390737231057
"8007",-1,"8007","ITGAX",-2.21274642793999,1.88411874809776,11.5432330157666,0.000679962938720878
"8008",-1,"8008","ITGB1",-4.24034440993205,6.47118058100855,11.9229522462162,0.000554465416069304
"8085",1,"8085","JMJD1C",2.82106600619487,4.42322937146233,12.9498850564182,0.000319941136806713
"8124",-1,"8124","KAT6A",-1.78106540798059,5.16038705969459,11.8204157738498,0.000585847763955676
"8290",1,"8290","KDSR",3.10350583826506,4.05877337715983,12.7723196135194,0.000351786332543477
"8344",1,"8344","KIF1A",1.97632547651554,2.39112328075182,11.5525654046002,0.000676558406743747
"8401",-1,"8401","KITLG",-4.17191112873842,5.94386943456437,11.7096000816826,0.000621784812487486
"8413",-1,"8413","KLF12",-2.09504701834581,3.74215088736421,11.1669453636527,0.00083267611212081
